text,label
our blackface pm is a disgrace and is attempting to destroy out nation with climate fraud cultism and open immigration@justintrudeau has a bizarre fetish with the un and europeans socialiststhere are parts of our country that want to separate because the liberal cancer is toxic,__label__2
immigration to the usa was easier for them than it is for latinx immigrants today i didn’t say it was just in either time,__label__2
i'm i am not sure we dodged a bullet carney may now be in a position to assume un control of canada when post nationhood becomes the reality the immigration attack on canada is set to overwhelm many small to midsized communities brooks ab has already been destroyed,__label__2
end immigration and the us worker pay and benefits will grow immediately,__label__2
not at all you ignore voters who will never vote for you no matter what canadians don't do not want what trudeau is selling they want a strong economy safe streets and a clean environment not uncontrolled immigration uncontrolled spending out of control government interference,__label__2
immigration without assimilation is invasion just wait and see,__label__2
it's it is not a good idea nor is any tax we are vastly over taxed and our votes seem to mean nothing see how every western nation wants to slow or stop immigration and yet no political party will even consider this,__label__2
heaven's the ultimate gated community where illegalimmigration is impossible but there is immigration reform into heaven anyone can get it no lines no waiting lists just merit of repentance baptism being born again wide is the road to destruction jesussaves,__label__2
here's an idea why not take our homeless vets elderly families trying to survive into the hotels apts houses we put illegals and refugees into give all the benefits to our own american citizens put the refugees into the tents tarp and boxes bet they'll go back home,__label__2
it should be american citizens before illegals and all refugees our veterans put their lives on the line for this great country illegals and refugees have done nothing,__label__2
why are you welcoming them why isn't it refugees or homeless not some rich power hungry monarchs are they here to give all their money and get everyone an electric vehicle or something they don't do not deserve free advertising,__label__2
where ontario can make cuts stop giving welfare to refugees who should be deported,__label__2
the relative safety of the travel is not the only thing that matters here buddy imagine if a country was incredibly hospitable to refugees and made their entry easy travel would be like moving states but they'd still be fucking refugees,__label__2
i they're they are not even hiding the fact that they are actively out and out replacing canadians mmigration minister says canada is playing a 'truly transformational' role in private sponsorship of refugees | cbc news,__label__2
remove the refugees,__label__2
these refugees are christians coming from countries where their being prosecuted for their beliefs i think not their coming from countries were a man has 4 wives as young as 6 yrs women have very little rights do as her man says sharia laws honor killings no thanks,__label__2
joseph and mary weren't poor or refugees so why should we care about the poor or refugees like fuck off with this,__label__2
deport them lol,__label__2
deport them all,__label__2
deport all registered democrats muslims and antifa symphathizers to those countries and call it even,__label__2
sleeper cell she is deport her strip her her entire family of us citizenship,__label__2
india must fight deport islamic radicals,__label__2
deport all illegal aliens huge money saver,__label__2
that's dreadful it should not have been allowed to come to this they should be afraid of the police not the other way around governments are to blame for allowing it to continue they should clamp down on them hard and deport all the workshy and trouble makers,__label__2
deport them it saves lives to drive home your point do a commercial where you're you are really sad and a tear rolls down your cheek fake indians like doing those kinds of things,__label__2
deport him for treason,__label__2
deport them all,__label__2
can we deport everyone involved who don’t end up in jail to those countries and never let them come back,__label__2
deport her thieving ass after she serves time for the people she ripped off,__label__2
deport them all,__label__2
so let’s deport everyone who’d rather live in somalia,__label__2
build the wall deport them all we need more ice and severe penalties $$ and jail time for those that aid or employ an illegal alien,__label__2
deport her after she serves her time,__label__2
masa—make america smart again deport republicans,__label__2
masa—make america smart again deport trump melania all their kids and the republicans to russia,__label__2
we need to deport them all,__label__2
deport stephen miller extraterrestially thinking outer pluto,__label__2
scandinavia continues to be a haven for migrants with a fondness for undocumented love-making,__label__2
deport them,__label__2
arrest and deport these scumbags,__label__2
disgraceful deport them all,__label__2
every white english person will have to be sodomized by a muslim immigrant before any real change is to take place most white british love the diversity if i were to try to deport these rapists the vast majority of white british would fight me tooth and nail to keep them here,__label__2
i hate this extremely hateful ugly ass ursula deport the jihad squad,__label__2
they're they are are plenty of 'ethnic britons' who are convicted pedophiles and child murderers to suggest going back 3 or 4 generations to find their ethnic roots and then deport is daft if they're they are not british then deport away,__label__2
how do you think the liberals won the last election this is the main driver for the mass immigration scheme,__label__2
and before you argue any kind of semantics with mei gotta sayi don't do not care you are from somewhere else you are by definition not as a racist term an immigrant,__label__2
they need to take the 22 million illegal immigrant potential votes and subtract them equally across these states for democrats once they realize thier votes don't do not count they might think sensibly i doubt it way to much to expect from the ignorant,__label__2
just another trudeau immigrant,__label__2
the trippy part - cpac didn't really respond well to anti-immigrant proposals 'til the 2016 race prior to that they responded to his rhetoric with moans but when he pitched it as protecting the country from dangerous migrants who would harm us and our economy he got applause,__label__2
immigrant wifey is crying as maybe she will be deported to slovenia with her anchor baby barron and sister and parents too,__label__2
his advisors being from the immigrant canadians and i being a new canadian too know this better want canada to be like one of third world countries where corruption prevails as national character,__label__2
you forgot to add “illegal”infront of immigrant,__label__2
gag a criminal his former immigrant mistress-turned-paid-enabler i would feel sorry for u but it would be wasted time blocking u instead buhbyenow,__label__2
you met people who want to come into our country overwhelm our educational system and live in welfare how about meeting with angel families who had a loved one murdered by an illegal immigrant you’re just anti-american liberal,__label__2
a nice deportation slip for his illegal immigrant wifey and arrange for her to take her anchor baby too,__label__2
every city has sound ordinances they are there so people do not disturb the peace our laws should not change to suit the immigrant the immigrant should change to suit america,__label__2
no family should be torn apart by human trafficking oh and by the way illegal immigrant is illegal illegal is illegal illllllleereegggalllll isssss illlllegaaaaalllll soft as an easy chair hmmm,__label__2
here comes the topic change nah it's it is national security it's it is also to protect elections from democrats and their illegal voters,__label__2
penalties would be fine along with penalizing those using false info and immediate deportation imo immigrant numbers should be significantly curtailed,__label__2
false the left was for labor unions which were anti immigrant until the late 90s it was the republicans who flooded the country with brown people for cheap labor and who forced the democrats to become the poc party,__label__2
when a business has the we have the right to refuse service sign up you know that means they can only refuse service to a white person who is out of his mind because if that business tries to refuse service to an immigrant or other poc that business will be sued,__label__2
cory booker is to blame for new jersey just became the 15th state to pass a bill letting unauthorized immigrants obtain driver’s licenses via,__label__2
where is all the sympathy for angel families who had a loved one murdered by an illegal immigrant there’s nothing but crickets from democrats so shut it little girls are molested by illegals and still nothing from you hypocrite i’m so sick of democrats being 2 faced,__label__2
my immigration status you're you are on my peoples land you're you are the immigrant,__label__2
illegal immigration is rigging house seats in congress stealing power away from real americans and handing it over to illegals,__label__2
she's she is a brainwashed victim of islam not unlike the unpatriotic unassimilating legal illegal immigration,__label__2
we are not in a good position with illegal immigration the whole world wants to move here it's it is unsustainable we've had to start somewhere for a long time now i'm i am sorry too,__label__2
turn cities across america into violent hellholes via illegal immigration and lawless liberal policies then blame lawful gun owners you have to be an idiot to believe that lawful gun owners are the problem but then many who vote for democrats are idiots,__label__2
the citizens of the people’s republic of california need to wake up and get rid of her what has she done to help the people of ca increased homelessness and illegal immigration don’t count,__label__2
once the us becomes california which is what illegal immigration will cause life in america will be hell for everyone except the entitled elites,__label__2
if you believe in illegal immigration removing both the first and second amendment to the constitution is good for our country i would say you are the one who is betraying this country,__label__2
do you think spending 20 trillion on illegal immigration drug trafficking human trafficking task forces to track ms-13 etc,__label__2
-embrace energy -respect firearms owners and their property and rights -strengthen and enforce canada's borders/immigration -crime enforce our laws and punishment -better support for our military govern and respect all canadians from coast to coast,__label__2
or they could have stayed where they came from and not sneaked across the border and applied for immigration as thousands of others have and are almost impossible to monitor that many criminals nothing has changed on how illegals are treated from obama either twit,__label__2
immigration to cost republicans house seats in 2020 study confirms,__label__2
the gov has to stop that immigration nonsense immediate,__label__2
islam party wants to transform belgium via stop immigration from the muslims and send the ones here back to their own country so we do not want their false religion we do not want your satanism in our country,__label__2
ann coulter says 80% of immigrants vote democrat the us will go communist democrat unless immigration is stopped she chides christian zionists for focusing on israel while the us is going down the drain,__label__2
unemployment doubled in brandon this year yet economic development brandon is promoting the use of immigration it's it is important to remember last election not one cpc mp or pc mpp spoke about immigration they are no different then liberals on this issue,__label__2
this is the reason why 87 million conservatives stayed home in 2018 costing the gop the house trump rush gallagher still don’t get why they lost the house they chalk it up to laziness it’s immigration we don’t want the us turning into brazil vote the traitors out,__label__2
number one i don’t know what premier pallister’s position is on it the silence tells us something forced immigration can have some major challenges and if we just willy-nilly accept them without any preparation often because of the political correctness then it’s even worse,__label__2
illegal immigrants ffs now get tae fuck and read up on the topic instead of tory bashing we’re leaving we have a great tory government who will legislate for immigration our country will improve,__label__2
eu rules we can limit immigration from eu countries and also stop illegal immigrants entering the uk as i’ve already stated just under 25 000 were deported in 2018 this figure will drop when we can actually stop them from entering the uk as they won’t continue to try,__label__2
i’d wager a lot of immigrants would be inclined to vote blue on social issues it’s sad people see immigration and humane refugee policies as partisan ploys i support these policies even knowing that plenty coming in most certainly disagree with my politics,__label__2
canada needs even less more people = more ghg if we are serious about climate change we need to stop all immigration immediately bringing more people to a cold nation is idiotic,__label__2
refugee camps are closed to them and they are labeled security risks barring them from immigration project newsletter,__label__2
immigration levels continue to endlessly increase without debate libs cons and the ndp know they would lose the debate so have muzzled it for decades we need to continue to open up the dialogue regardless ppc freespeech,__label__2
have you not seen what is happening in canada it has been announced china not alberta gets to drill for oil and mass immigration is entering the prairies i am sick mad as hell how can we be so stupid yes is want djt 4 10 20 q+ to save us from this madness ty sir,__label__2
no worries trump will fix obama's flawed immigration,__label__2
waste of time and effort get to work on immigration reform border security and usmca,__label__2
let’s all swarm immigration canada plug there phones send emails time to stand up north bay on sudbury on timmins on sault ste marie on thunder bay on brandon mb altona/rhineland mb moose jaw sk claresholm ab vernon bc west kootenay trail castlegar rossland nelson,__label__2
obama less popular as we discover what he left us with in particular immigration globalism affecting safety law order over-population no borders costs of livingcorrupt systems dirty rostervoterfraud privacy for citizens prioritizing aliens over american citizens racism,__label__2
with the new immigration policies of waiting outside while processing is done has shown about 1% meet the standards of fleeing from their country for fear of their lives at the border over 10k sought refuge but a little over 100 were approved build a bigger wall,__label__2
you do understand that his defence lawyer told him what to say to help him get a lighter sentence based on racial differences lawyers that represent this type of immigrant filth are a large part of the perpetuity of these crimes against women,__label__2
the referendum finally shone a light and served all those snowflakes right that we’ve had it with europe’s shite that made such a mess our future’s finally looking white and immigrant-less,__label__2
of course they are the politicians who are responsible for creating the mess in sweden will get the immigrant votes just as the dems here want immigrant votes,__label__2
pro immigrant is pro cartels this liberal hack created the problem an now she want to ban every thing criminal by definition don’t follow her laws get this crazy nut bag out of office,__label__2
but canada declared a climate emergency i thought isn’t canada warming at twice the rate of other places why then would we bring anyone here why would we import one more immigrant to a could country where it’s a matter of survival burning fossil fuels the whole thing is bs,__label__2
you are so correct but there is a sinister bend to this sad story he is on a mission to reduce us old stock trudeau's exact words to a minority status he believes canada now belongs to the immigrants and is currently increasing 3rd world immigrant quotas spending,__label__2
this is just plain evil should round them all up there and deport,__label__2
deport all chinese here in the usa,__label__2
another nail in the coffin of freedom it's it is big brother the next step to total state control in the uk stop and catch the muggers murderers and rapists deport the foreign gangs unregistered illegal migrants first,__label__2
it will be a very very very very very very very very very very very long time to wait because were kicking them all out if need be and start over with the correct way of entering the usa a simple solution deport them all and start over one by one till they get the message,__label__2
she needs someone to back her up to save her from jail why not try bernie she’s desperate to sink her hooks into anyone rich when will she stand trial for her crimes do the time then deport her back with her lying husband/brother,__label__2
ya it sure is a fucking disgrace this terrorist should not even be in this country deport him or throw him jail,__label__2
who the fuck is the un to tell us we have to take refugees who the fuck is the un to tell us that we can’t deport refugeesare we not our own country i am disgusted embarrassed and disappointed we have nobody to stand up for canada max is looking better and better,__label__2
while your busy trying to deport people before they even get hearings people keep coming from europe to drop a kid in the states and get instant dual citizenship where's your fake outrage there or on those who work on travel visas melania or over stay them,__label__2
deport him to iran,__label__2
i’ll just say this one thing and then go back to ignoring the haters in my mentions i never said we should deport all gamers i said fps and rpg gamers should be deported and the rest should just lose their right to vote anyway onward and upward,__label__2
democrat attorneys general demand fast-track work permits for illegals and migrants via america we need to deport these very democrats to mexico were not giving these illegals any jobs before americans get that threw your ignorant brains,__label__2
deport melania send her back where she came from,__label__2
we should deport you donny boy trump do you have permission to be here,__label__2
putting these jerks in jail is a 100% waste of time and american resources sir plain and simple jail thrills these maniacs they thrive inside no more sir deport every last one to deep mexico or rio were they belong can thrive or +ie by other gangs in that country's infestation,__label__2
we need to go after all gangs in california these cartel rejects are terrorizing citizens all over the state this is unacceptable on all levels period sir rumor has it la is a major target for these jerks right now deport every last one i say screw jail,__label__2
hey if you dont like greenwald just deport him pack him into one of those shitty old cargo planes that only transports chickens and bananas and just have them drop him off in canada,__label__2
deport it in pieces,__label__2
no daca no amnesty deport them all,__label__2
why criminal prosecution might be the least of ilhan omar’s legal concerns jail revoke citizenship and deport her and her whole family,__label__2
why criminal prosecution might be the least of ilhan omar’s legal concerns revoke and deport/,__label__2
i don't do not see why this is particularly controversial i've suggested this for a long time first things first though deport the 23 000,__label__2
deport every single foreigner and their families inc cousins found to be involved in this industrial scale rape of underage white girls many of whom were in childrens homes jail the social workers councilors politicians police etc who allowed it also,__label__2
their parents are to blame first then the schools then the media once trump gets reelected i hope they bolster the ice by 500% and deport the 30+ millions illegals who drain the system then deport the refugees to fix their homeland,__label__2
about time they reversed this fraud's citizenship because she lied on her application and deport her back to somalia where she can live happily ever after with the other pirates,__label__2
biden is a complete moron watch joe biden vows not to deport illegal immigrants who drive drunk wat on youtube,__label__2
biden you are a disgrace joe biden vows not to deport illegal immigrants who drive drunk wat via,__label__2
i’d still deport an illegal over it though,__label__2
deport the barbarians - enoch powell was 100% correct our streets are rivers of blood caused by these savages and their vile medieval barbaric customs and religion,__label__2
deport these fucking wildly neanderthals deportbasijis,__label__2
so all anyone with any reason to be deported has to do is claim this status when they enter and they're they are golden oh wait we don't do not deport the ones that turn out to be criminals anyway last i checked we make our own immigration law thanks anyway un,__label__2
these are not refugees they are invaders deport them immediately,__label__2
i'd i would love to see that midget altuve take a 102 mph heater right in the eye socket then deport him just for good measure,__label__2
he is not student he has to deport he and who support terrorist has to deport from usa canada and all european countries,__label__2
hey bandito where is your sombrero deport philarballo rapido rapido now,__label__2
ha i say we deport the prick,__label__2
the man with the money for these protests not sure why the snowflake rcmp allow this to happen arrest them and deport them back into their countries corruption sorospuppets,__label__2
time for nunes barr pence to pick out their jump suit color we should deport them all to putin's russia,__label__2
the whole of europe uk and the western world is waking up to these filthy disgusting animals that rape and pillage their way through our civilised society attacking our predominantly white young girls and women deport 'immigrant refugees' nobody's protecting our women and girls,__label__2
deport convicted felon conrad black,__label__2
deport this convicted felon,__label__2
can we also revoke barbara amiel's and then deport her and her no longer a canadian citizen husband,__label__2
nunes has ethical issues deport him,__label__2
ridiculous that the trash is even allowed to come let alone stay in canada deport the fuckers,__label__2
and furthermore try to reverse that type of revolting behaviour in these man is virtually impossible unless you deport the whole lot mbga should be the battle cry for every englishman alive,__label__2
so i suppose it's it is too late to deport her,__label__2
your a fucking pussy i bet you can knockout jman in the first round ireland bitch pussy i fucking deport your fucking ass outta canada,__label__2
christ can we deport him already he's he is not a citizen after all,__label__2
muslims came to america more than a century before protestants - deport the evangelicals,__label__2
let's accept meghan harry and deport those two old twats that were making fun of first nations people on a plane a few months back seems a good trade in two interesting people with obvious kindness out two drunken racist twats good deal all around for canada,__label__2
time to deport them,__label__2
shame on the decision makers that made that decision to not deport the illegal my heart and prayers are with the family of this sweet and kind hearted woman that lost her life from the hands of a sick murderer,__label__2
omar should spend some time in jail before they deport her flynn will be released and the other will get what’s coming to them eventually,__label__2
i thought violent criminals were subject to a three strikes law which idiots are releasing these criminals do they deport gang members from central america who are known criminals,__label__2
deport them,__label__2
they are not an indigenous group they are a paid activist group out of california it's it is time to arrest them and deport them where necessary it's it is time to assign large penalties to those acting on foreign interest enough of the sugar-coated b,__label__2
i agree we should immediately deport them instead,__label__2
yes by all means deport the honest woman who's paid taxes and lived here crime free for years but let the people who come over the border illegally stay no problem not the canada i want to see,__label__2
deport them less their bollocks simple 😊,__label__2
are you happy now you have imported the dregs of society into the european youth paying the price for you stop this madness multiculturalism means the death of european culture,__label__2
can't cannot wait for the million+ immigrants they plan on bringing into canada over the next decade multiculturalism is so wonderful,__label__2
from canada progressivism cannot process either the existence of evil or the failure of multiculturalism thus inclusivity demands protection of the guilty “culture” and intentional use of the vague term asian it’s messed up and ultimately dangerous for the future,__label__2
it isn't a surprise they do not wish to talk about it how many people would own up to supporting a stupid 'multiculturalism' project which has led to so much tragedy if they admitted it they would be finished so they just try and brush it under the carpet,__label__2
ah the benefits of multiculturalism gives one goosebumps,__label__2
this is what multiculturalism gets you it wasn't that long ago when sweden was known as a peaceful safe country where a population enjoyed a good standard of living liberals opened the doors wide to mass migration parts of sweden have become a war zone dont let it happen here,__label__2
mass migration of military aged males from jihadist infested nations created this disaster for largely peaceful western/european nations multiculturalism has failed and innocent people suffer#openbordersinc,__label__2
no it's it is not subjective at all lmao it's it is a fact dude whites in north america will be a minority by 2040 due to a massive influx of immigration importing the third world into the first world only brings down first world race does matter,__label__2
absolutely did nothing for our country gave billions to our enemy obama care sucks immigration rampant more on food stamps n government support more jobs in other countries that should be here corrupt fbi doj and cia what a record to be proud of eh,__label__2
this is the un globalist agenda flood the nations with mass immigration create chaos look at france germany sweden order out of chaos to usher in the nwo globalist one world government soros orchestrated we must stop it and protect our borders,__label__2
how about birth tourism immigration and people who go through the usa to non legal ports of entry,__label__2
trudeau is going out of his way to bring in islamic immigration that is incompatible and will statistically end up on permanent welfare canada didn’t have terrorism until trudeau,__label__2
mass immigration is already destroying canada and unless we stop it there will be no turning back the clock,__label__2
i firmly believe minimal immigration=integration large immigration=fragmentation mass immigration= utter destruction,__label__2
all of these countries have one thing in common the un and their open door polices of immigration introducing gangs and militants from africa and the middle east to western society,__label__2
106 000 abortions are performed each year that represents about 1/3 of all pregnancies our birthrate has been stuck at 15 for decades if we were to implement the above along with some orban-esque policies we can get it up to 2 and promote adoption and decrease immigration,__label__2
you didn't ask about immigration one very important concern for most of us and the un,__label__2
immigration without assimilation is an invasion these folks will demand indian and chinese to become official languages of canada,__label__2
so deliberately ignorant then or just keeping her mouth shut i heard her talk about more immigration a number of times which is economically suicidal due to automation replacing 40% of jobs in 10-15yrs but worse w/ islamic welfare targeting,__label__2
stats canada said in the last 90 days 200 000 new immigrants arrived in canada add the open borders of 60 000 illegals how much before our infrastructure collapses how will these people be housed trudeau lied and the cpc says nothing bernier was right no to mass immigration,__label__2
another housing crisis story that ignores mass immigration🙄,__label__2
none i will volunteer for the people's party and help tank the cpc once again i will continue to work against the cpc until they nominate someone who will lower immigration and enforce the borders,__label__2
trudeau floods canada with mass immigration so tax hard working canadians who own investment real estate 🙄 liberallogic,__label__2
her “progressive” virtue signaling to the 1-3% victimhood “pride” group population is ridiculous she is also very ignorant to islamic immigration,__label__2
exactly raitt and rempel are liberals and extremely ignorant about islamic immigration,__label__2
immigration control is a top priority imo,__label__2
nothing done b/cuz anything goes today dems condone lying child rape late term abortion stealing elections illegal immigration hamas iran felons voting homelessness open drug use shitting in the streets theftthe list is endless no self awareness why,__label__2
we are witnessing the planned destruction of western societies via mass immigration of islamists some 150 neighbourhoods 'held' by islamists says french classified report,__label__2
oh of course it is the father women don't do not have a say when we talk about western values that should be the first question in allowing immigration that would solve a lot of issues,__label__2
into her computer she hurled insults with her arabic accent calling me a freak before i left i told her that i would get a restraining order if she didn't leave me alone i wanted to mention also that i love canada and i am very pro immigration for where i live liberal,__label__2
the narrative that trump is a danger to national security is ridiculous he’s the one stopping illegal immigration and drug cartels he’s the one who enacted a travel ban to the us from terrorist states he’s the one engaging with nk to halt nuckear testing foxnews,__label__2
this is not immigration folks this is an invasion of the west these people mean to have it all they are not coming here to assimilate they are coming to take over,__label__2
